EMPRY_LINE_FOR_UTF_BOM,
EvaEngine,华尔街见闻-黄金头条
ERR_USER_PASSWORD_WRONG,密码不匹配
ERR_USER_PASSWORD_WRONG_MAX_TIMES,密码输入错误次数太多，用户已经被锁定，请稍后重试
ERR_USER_NOT_EXIST,用户不存在
ERR_USER_NOT_ACTIVED,用户未激活
ERR_USER_RESET_CODE_NOT_MATCH,验证码不匹配
ERR_USER_RESET_CODE_EXPIRED,验证码已过期
ERR_USER_USERNAME_ALREADY_TAKEN,用户名已存在
ERR_USER_EMAIL_ALREADY_TAKEN,用户邮箱已存在
ERR_USER_CREATE_FAILED,创建用户失败
ERR_USER_ALREADY_ACTIVED,用户已经激活
ERR_USER_BE_BANNED,此用户已被屏蔽
ERR_USER_ACTIVATE_CODE_NOT_MATCH,用户激活码不匹配
ERR_USER_ACTIVE_FAILED,用户激活失败
ERR_OAUTH_AUTHORIZATION_FAILED,第三方授权失败
ERR_USER_NOT_ACTIVATED,用户尚未激活
SUCCESS_USER_LOGGED_IN,登录成功
SUCCESS_USER_ACTIVE_MAIL_SENT,激活邮件已发送
SUCCESS_USER_REGISTERED_ACTIVE_MAIL_SENT,一封验证邮件已发到注册邮箱，请验证后登陆
SUCCESS_USER_RESET_MAIL_SENT,一封包含重置密码信息的邮件已经发送到注册邮箱
SUCCESS_USER_PASSWORD_RESET,新密码已设置，请重新登陆
SUCCESS_USER_ACTIVED,邮箱验证成功，请登录

SUCCESS_OAUTH_USER_REGISTERED,注册成功
SUCCESS_OAUTH_USER_CONNECTED,绑定第三方帐号成功
SUCCESS_OAUTH_AUTO_CONNECT_EXIST_EMAIL,登录成功


Please Enter Your Information,登录
Remember Me,记住密码
Or Login Using,使用第三方登录
Username or Email,用户名或邮箱
Password,密码
I forgot my password,忘记密码
I want to register,注册
Retrieve Password,重置密码
Enter your email and to receive instructions,输入注册邮箱
Back to login,返回登录
Send Me,发送邮件
New User Registration,新用户注册
Enter your details to begin,请输入注册信息
Email,邮箱
Username,用户名
Reset,重置表单
Register,注册
This email has been taken,邮箱已被占用
This username has been taken,用户名已被占用
Register and Connect,注册并关联第三方帐号
You are connecting with,你正在关联第三方帐号：
New User,从未注册过
Already Have an Account,已经有帐号
Login and Connect,登录并关联
Login With Password,使用密码登录
Your %adapterKey% account will be connected after login,你的帐号将在登录后自动关联到%adapterKey%
I accept the %a_% User Agreement %_a%,我已阅读并同意%a_%用户协议%_a%
